user_id,movie_title,rating
user_706,Hearts of Darkness: A Filmmaker's Apocalypse,9.8
user_603,The Dawn Wall,7.6
user_356,Meshes of the Afternoon,4.9
user_192,Donnie Darko,6.8
user_206,Puss in Boots: The Last Wish,10.0
user_779,Berserk: The Golden Age Arc III - The Advent,7.2
user_303,Grand Illusion,8.0
user_688,Fiddler on the Roof,10.0
user_119,The Cabinet of Dr. Caligari,7.1
user_442,Ben-Hur,8.7
user_93,Oldboy,5.6
user_670,Michael Jackson's Thriller,9.9
user_566,Suzume,6.9
user_836,Three Steps Above Heaven,6.1
user_101,Jaws,7.2
user_67,Whiplash,9.4
user_104,Constantine: City of Demons - The Movie,5.8
user_482,Memoirs of a Geisha,9.3
user_72,The Princess Bride,8.3
user_540,Ford v Ferrari,5.9
user_76,Wish Dragon,7.4
user_859,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,9.4
user_338,"Batman: The Dark Knight Returns, Part 1",8.6
user_464,Wolf Children,8.6
user_694,Hidden Figures,6.3
user_757,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,8.2
user_116,Nightcrawler,8.1
user_915,The Shining,9.2
user_456,Knives Out,8.3
user_577,Isle of Dogs,8.1
user_499,The Graduate,6.7
user_149,Freaks,5.1
user_634,Paris Is Burning,9.5
user_348,Gone with the Wind,9.2
user_238,CODA,10.0
user_823,The Last Laugh,5.2
user_779,Tel chi el telùn,6.5
user_672,Fantastic Planet,5.3
user_457,Miraculous World: Shanghai – The Legend of Ladydragon,7.3
user_451,Infernal Affairs,8.7
user_148,Innocent Voices,7.3
user_465,In the Heat of the Night,5.0
user_470,We Bare Bears: The Movie,6.9
user_18,Drishyam,7.9
user_481,Grand Illusion,6.9
user_703,Coco,8.3
user_463,A Whisker Away,9.7
user_687,Michael Jackson's Thriller,6.6
user_538,The Tale of The Princess Kaguya,7.2
user_999,Pan's Labyrinth,6.4
user_354,Perfect Strangers,9.1
user_917,Straight Outta Compton,7.3
user_660,The Silence of the Lambs,6.2
user_764,Kagemusha,8.8
user_66,Rear Window,8.4
user_999,Freaks,10.0
user_885,A Charlie Brown Christmas,7.2
user_315,Grave of the Fireflies,8.5
user_543,The King and the Mockingbird,10.0
user_309,Operation Y and Other Shurik's Adventures,7.3
user_647,The Black Phone,9.4
user_995,My Father's Violin,9.1
user_884,Léon: The Professional,10.0
user_816,Limelight,9.1
user_230,Harry Potter and the Prisoner of Azkaban,8.3
user_70,The Dark Knight Rises,8.0
user_228,Batman Begins,9.7
user_684,What Ever Happened to Baby Jane?,7.0
user_527,High and Low,6.1
user_683,Sherlock Jr.,8.8
user_379,Day & Night,9.9
user_893,Taylor Swift: Reputation Stadium Tour,8.1
user_659,Meshes of the Afternoon,5.8
user_85,WALL·E,7.9
user_871,Faust,6.9
user_869,Roman Holiday,7.6
user_797,Charade,8.0
user_745,Harry Potter and the Philosopher's Stone,7.1
user_573,Guardians of the Galaxy,7.9
user_282,Captain Fantastic,5.4
user_384,Doctor Who: The Time of the Doctor,8.1
user_844,My Mom Is a Character,6.4
user_165,I Saw the Devil,5.9
user_723,Elemental,8.6
user_431,CODA,7.3
user_289,Out of the Clear Blue Sky,9.5
user_23,Gladiator,8.2
user_57,My Name Is Khan,9.5
user_990,"Argentina, 1985",10.0
user_195,Army of Shadows,6.3
user_90,Stagecoach,8.7
user_798,Safety Last!,8.4
user_810,My Way,7.5
user_652,Requiem for a Dream,8.5
user_325,Violet Evergarden: The Movie,7.5
user_982,Onward,6.9
user_192,"Duck, You Sucker",7.5
user_812,High and Low,8.6
user_973,Scarface,8.1
user_198,High Noon,6.8
user_274,Grand Illusion,9.4
user_100,The Nightmare Before Christmas,6.3
user_504,Stalag 17,6.2
user_613,Mulholland Dr.,9.2
user_392,Citizenfour,7.3
user_611,The Handmaiden,6.3
user_646,The Thing,8.9
user_102,Faces Places,10.0
user_219,Honor Society,9.4
user_560,The Man Who Shot Liberty Valance,9.4
user_447,Die Hard,6.9
user_126,Given,7.3
user_377,The Man from Nowhere,9.3
user_371,WALL·E,7.9
user_503,Bo Burnham: Make Happy,8.5
user_635,Dogville,5.6
user_988,The Incredibles,5.9
user_842,Two Women,7.1
user_742,A Movie of Eggs,7.0
user_257,The Warriors,8.5
user_493,Apocalypse Now,7.3
user_515,Eddie Murphy: Delirious,8.7
user_314,Prisoners,8.4
user_368,The Super Mario Bros. Movie,7.8
user_662,Freaks,9.1
user_356,The King and the Mockingbird,7.8
user_453,The Super Mario Bros. Movie,9.1
user_383,Sanjuro,8.8
user_63,What Ever Happened to Baby Jane?,9.9
user_641,Steven Universe: The Movie,7.7
user_706,The Cabinet of Dr. Caligari,9.7
user_149,Full Metal Jacket,8.2
user_31,North by Northwest,8.4
user_768,The Bridge on the River Kwai,8.2
user_483,Up,7.7
user_282,For a Few Dollars More,5.8
user_579,Guillermo del Toro's Pinocchio,9.8
user_564,Attack on Titan: Wings of Freedom,10.0
user_785,Annie Hall,8.9
user_501,Saving Private Ryan,7.5
user_138,"The Boy, the Mole, the Fox and the Horse",9.1
user_815,The Summit of the Gods,6.1
user_601,Dragon Ball Super: Broly,6.6
user_152,La La Land,8.6
user_697,Spider-Man: Into the Spider-Verse,9.5
user_26,The Super Mario Bros. Movie,6.8
user_636,"Duck, You Sucker",8.7
user_636,Barry Lyndon,8.5
user_78,The Legend of 1900,7.1
user_559,Onward,8.2
user_264,Dragon Ball Super: Broly,8.6
user_296,Justice League Dark: Apokolips War,10.0
user_982,The Bridge on the River Kwai,6.9
user_856,Neon Genesis Evangelion: The End of Evangelion,7.4
user_155,Ratatouille,10.0
user_328,Togo,9.0
user_30,Evangelion: 1.0 You Are (Not) Alone,7.7
user_421,Scooby-Doo on Zombie Island,7.5
user_796,Stagecoach,6.9
user_629,The Empire Strikes Back,10.0
user_644,Porco Rosso,9.0
user_773,One Direction: This Is Us,7.0
user_507,Searching for Sugar Man,8.8
user_548,The Super Mario Bros. Movie,8.6
user_642,How to Train Your Dragon 2,10.0
user_383,Eddie Murphy: Delirious,7.4
user_819,Time of the Gypsies,6.3
user_619,Sherlock Jr.,10.0
user_207,Unforgiven,9.8
user_241,Captain Fantastic,9.8
user_222,Icarus,6.6
user_282,Ponyo,10.0
user_572,Cowspiracy: The Sustainability Secret,9.2
user_700,Rocco and His Brothers,8.0
user_936,The Secret World of Arrietty,7.3
user_309,The Secret in Their Eyes,6.0
user_434,Chinatown,8.7
user_356,Luck,9.7
user_753,Along with the Gods: The Two Worlds,9.5
user_469,Gone with the Wind,8.4
user_374,Umberto D.,7.2
user_650,Aftersun,10.0
user_758,1917,7.4
user_739,Stagecoach,5.6
user_675,Army of Shadows,7.6
user_778,V for Vendetta,9.0
user_962,High Noon,7.4
user_567,Cobain: Montage of Heck,5.6
user_38,Chinatown,10.0
user_667,Ratatouille,9.1
user_145,Cowboy Bebop: The Movie,8.9
user_742,How to Train Your Dragon 2,6.4
user_889,The Battle of Algiers,6.1
user_981,Michael Jackson's Thriller,9.5
user_213,Dangal,10.0
user_979,My Mom Is a Character 2,10.0
user_38,Back to the Outback,5.2
user_879,Sherlock: The Abominable Bride,8.3
user_293,The Secret World of Arrietty,7.2
user_792,Bohemian Rhapsody,10.0
user_536,The Ox-Bow Incident,7.3
user_293,Still Walking,9.7
user_788,Millennium Actress,10.0
user_172,Amadeus,6.9
user_533,The Man Who Shot Liberty Valance,9.8
user_907,"The Good, the Bad and the Ugly",5.6
user_635,Aliens,6.5
user_44,Divorce Italian Style,8.3
user_803,Dances with Wolves,7.2
user_968,The Avengers,9.7
user_463,The Shining,6.0
user_222,Citizen Kane,9.5
user_844,Selena,7.2
user_884,Dances with Wolves,9.7
user_423,No Manches Frida 2,9.4
user_632,The Tenant,6.8
user_720,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.0
user_816,Death Note Relight 1: Visions of a God,9.0
user_215,Bacurau,8.9
user_118,A Charlie Brown Christmas,9.8
user_464,Ford v Ferrari,8.4
user_833,Grave of the Fireflies,7.5
user_478,A Clockwork Orange,7.7
user_339,Palmer,6.4
user_807,Faust,9.9
user_37,Along with the Gods: The Two Worlds,7.3
user_782,How to Train Your Dragon,9.0
user_921,Avicii: True Stories,7.3
user_496,Eddie Murphy: Delirious,9.7
user_895,Moonrise Kingdom,10.0
user_552,The Untouchables,6.8
user_867,The Tenant,5.7
user_13,Zack Snyder's Justice League,10.0
user_547,The Thin Blue Line,9.4
user_394,Steven Universe: The Movie,7.8
user_939,The Princess Bride,6.9
user_618,The Cranes Are Flying,7.5
user_808,Saving Private Ryan,10.0
user_712,Homecoming: A Film by Beyoncé,8.5
user_251,The Man Who Shot Liberty Valance,6.2
user_691,Mr. Nobody,9.3
user_165,A Fistful of Dollars,8.0
user_692,What Ever Happened to Baby Jane?,4.9
user_371,Bajrangi Bhaijaan,10.0
user_644,A Charlie Brown Christmas,7.7
user_373,Out of the Clear Blue Sky,6.0
user_934,Pride & Prejudice,9.2
user_882,Guardians of the Galaxy,7.1
user_756,The Dawn Wall,5.8
user_434,The Salt of the Earth,9.0
user_667,Soul,8.7
user_13,The Boy in the Striped Pyjamas,7.3
user_959,The Great Dictator,9.0
user_543,A Frozen Rooster,10.0
user_766,Clouds,8.5
user_324,Harry Potter and the Chamber of Secrets,4.9
user_650,Rascal Does Not Dream of a Dreaming Girl,10.0
user_381,Dangal,6.7
user_405,Rebecca,7.6
user_886,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,5.4
user_351,Selena,10.0
user_85,The Exorcist,9.4
user_974,The Batman,10.0
user_121,Shutter Island,10.0
user_703,Le Samouraï,6.4
user_204,Stagecoach,9.1
user_693,Bo Burnham: Make Happy,6.5
user_296,Doctor Who: The Time of the Doctor,10.0
user_489,Before the Flood,10.0
user_563,Trollhunters: Rise of the Titans,8.8
user_164,Dial M for Murder,8.9
user_131,Steven Universe: The Movie,6.9
user_703,Vertigo,10.0
user_786,"No Game, No Life: Zero",9.6
user_119,Stagecoach,6.6
user_325,Rurouni Kenshin Part II: Kyoto Inferno,8.7
user_694,How to Train Your Dragon,8.9
user_208,How to Train Your Dragon,7.3
user_60,Sherlock: The Abominable Bride,7.4
user_468,The Witch: Part 1. The Subversion,8.0
user_313,Cowboy Bebop: The Movie,9.3
user_168,All About My Mother,6.2
user_92,Rio Bravo,8.4
user_171,White Snake,10.0
user_972,The Sound of Music,8.1
user_545,Come and See,8.8
user_646,The Thin Blue Line,9.5
user_957,Loving Vincent,9.7
user_159,"Rome, Open City",7.2
user_114,The Cameraman,10.0
user_894,Braveheart,7.3
user_740,Spies in Disguise,5.2
user_469,The Dark Knight,8.6
user_923,Finch,9.0
user_787,Battleship Potemkin,10.0
user_361,The Mitchells vs. the Machines,9.3
user_949,The Shop Around the Corner,8.2
user_148,Kwaidan,8.9
user_592,Sing 2,8.0
user_704,Time of the Gypsies,5.9
user_694,The Ox-Bow Incident,8.1
user_772,Stand by Me,9.0
user_950,Aladdin,9.8
user_868,Vertigo,7.1
user_837,I Vitelloni,6.5
user_3,The Young and the Damned,10.0
user_160,Taylor Swift: Reputation Stadium Tour,5.3
user_208,BLACKPINK: Light Up the Sky,5.6
user_600,Waltz with Bashir,7.6
user_229,My Hero Academia: Heroes Rising,6.5
user_339,Entergalactic,9.7
user_654,The Chorus,5.0
user_350,Rurouni Kenshin Part III: The Legend Ends,10.0
user_523,Attack on Titan: Wings of Freedom,8.5
user_538,Whiplash,7.5
user_53,The Dinner Game,7.7
user_922,Miraculous World: Shanghai – The Legend of Ladydragon,7.0
user_981,Strangers on a Train,5.9
user_986,Castaway on the Moon,6.0
user_521,Unforgiven,9.5
user_586,Strangers on a Train,5.6
user_497,Presto,9.3
user_290,Ninja Scroll,6.8
user_225,Rurouni Kenshin Part III: The Legend Ends,10.0
user_310,A Bag of Marbles,5.5
user_287,Mystic River,6.9
user_966,The Super Mario Bros. Movie,8.3
user_730,The Thing,7.1
user_366,The King of Kong: A Fistful of Quarters,8.5
user_569,Three Colors: Red,8.8
user_639,David Attenborough: A Life on Our Planet,8.3
user_878,Ron's Gone Wrong,8.8
user_117,Amour,7.9
user_77,Scooby-Doo on Zombie Island,8.8
user_333,Twin Peaks,6.3
user_886,Pink Floyd: The Wall,6.6
user_492,The Red Shoes,7.0
user_665,The Secret in Their Eyes,6.7
user_992,Singin' in the Rain,8.5
user_682,Thirteen Lives,7.8
user_682,Ninja Scroll,10.0
user_636,Schindler's List,7.7
user_847,Guillermo del Toro's Pinocchio,5.6
user_185,The Usual Suspects,7.3
user_921,Justice League: The Flashpoint Paradox,9.2
user_259,The Secret in Their Eyes,7.2
user_980,Porco Rosso,10.0
user_593,Planet of the Apes,7.8
user_475,Partly Cloudy,8.2
user_697,A Charlie Brown Christmas,5.9
user_802,Song of the Sea,8.5
user_628,Stalag 17,9.6
user_934,See You Up There,7.0
user_508,We Bare Bears: The Movie,8.1
user_764,The Treasure of the Sierra Madre,5.1
user_685,Dances with Wolves,5.7
user_41,"No Game, No Life: Zero",10.0
user_675,Girl in the Basement,7.8
user_797,The Bridge on the River Kwai,9.6
user_93,Apollo 11,9.0
user_203,"Argentina, 1985",6.8
user_397,Evangelion: 1.0 You Are (Not) Alone,7.9
user_890,What Ever Happened to Baby Jane?,9.0
user_798,Regular Show: The Movie,9.1
user_247,Oppenheimer,9.7
user_937,In This Corner of the World,6.1
user_435,Hachi: A Dog's Tale,10.0
user_817,Tel chi el telùn,9.3
user_995,Teen Wolf: The Movie,8.3
user_904,Spies in Disguise,9.3
user_791,Bacurau,7.3
user_407,Big Hero 6,6.3
user_822,King Richard,10.0
user_105,A Charlie Brown Christmas,9.1
user_331,Sherlock: The Abominable Bride,9.5
user_132,1917,9.4
user_537,Simone: Woman of the Century,6.0
user_484,Dilwale Dulhania Le Jayenge,9.0
user_951,The Ox-Bow Incident,9.9
user_942,The Man Who Shot Liberty Valance,9.2
user_527,Dragon Ball Super: Super Hero,8.7
user_714,"The Good, the Bad and the Ugly",8.1
user_773,The Legend of Hei,8.3
user_497,Batman: Under the Red Hood,9.3
user_370,Straight Outta Compton,6.3
user_596,The Shadow in My Eye,6.4
user_858,How to Train Your Dragon: Homecoming,8.5
user_696,The Shadow in My Eye,9.3
user_259,To Be or Not to Be,7.8
user_785,Barry Lyndon,6.5
user_916,Beauty and the Beast,6.5
user_474,Steven Universe: The Movie,10.0
user_7,Back to the Outback,10.0
user_129,The Passion of Joan of Arc,5.9
user_801,Bohemian Rhapsody,5.6
user_382,Captain America: The Winter Soldier,7.8
user_719,Black Swan,7.4
user_775,Her,8.6
user_819,Harry Potter and the Half-Blood Prince,7.9
user_294,The Witch: Part 1. The Subversion,5.5
user_935,Guardians of the Galaxy Vol. 3,9.0
user_954,The Battle of Algiers,8.6
user_633,Inner Workings,8.3
user_780,In the Heat of the Night,7.7
user_686,Touch of Evil,8.3
user_180,A Taxi Driver,7.2
user_658,Harry Potter and the Goblet of Fire,9.7
user_169,Palmer,10.0
user_270,Memoirs of a Geisha,8.5
user_761,The Best of Youth,6.9
user_665,Nimona,5.9
user_442,Moonrise Kingdom,5.5
user_321,Spirit: Stallion of the Cimarron,6.4
user_502,Amadeus,8.9
user_185,Freaks,10.0
user_162,Five Feet Apart,9.6
user_236,Coraline,6.4
user_336,Ernest & Celestine,5.6
user_736,Up,6.4
user_3,Shrek,7.0
user_205,Hacksaw Ridge,8.7
user_30,BLACKPINK: Light Up the Sky,6.7
user_950,Rebecca,10.0
user_530,How to Train Your Dragon: Homecoming,8.9
user_817,The Battle of Algiers,8.7
user_313,What Ever Happened to Baby Jane?,8.5
user_545,The Ox-Bow Incident,6.6
user_422,Batman: Under the Red Hood,7.8
user_114,My Octopus Teacher,10.0
user_809,Believe Me: The Abduction of Lisa McVey,9.6
user_715,A Fistful of Dollars,8.4
user_820,Parasite,7.9
user_91,Persian Lessons,6.6
user_657,Monsieur Verdoux,8.7
user_65,GoodFellas,7.7
user_37,Isle of Dogs,10.0
user_828,The Woman King,6.6
user_120,Memoirs of a Geisha,9.4
user_426,Miraculous World: Shanghai – The Legend of Ladydragon,8.2
user_183,Double Indemnity,7.4
user_892,Sound of Metal,4.7
user_118,My Father's Violin,6.0
user_80,Eddie Murphy: Delirious,6.8
user_504,About Time,6.4
user_985,Fiddler on the Roof,10.0
user_9,The Lion King,7.7
user_230,The Warriors,8.7
user_944,Dog Day Afternoon,10.0
user_309,Jodorowsky's Dune,6.7
user_903,Sherlock Jr.,10.0
user_423,When Marnie Was There,8.6
user_572,Se7en,10.0
user_367,Prayers for Bobby,7.5
user_584,Out of the Clear Blue Sky,7.1
user_589,Hunt for the Wilderpeople,8.3
user_55,The Sound of Music,7.5
user_207,Batman: Under the Red Hood,8.0
user_377,Hotel Rwanda,8.4
user_620,Searching for Sugar Man,8.5
user_671,Toy Story,9.3
user_508,The Passion of Joan of Arc,5.7
user_795,The King of Comedy,10.0
user_199,Billie Eilish: The World's a Little Blurry,8.3
user_271,Full Metal Jacket,8.3
user_697,Angel's Egg,8.5
user_424,Anatomy of a Murder,6.6
user_589,Rocco and His Brothers,9.1
user_909,Constantine: City of Demons - The Movie,7.8
user_961,Togo,7.4
user_552,A Street Cat Named Bob,7.0
user_10,L.A. Confidential,8.0
user_527,Godzilla vs. Kong,7.8
user_518,Believe Me: The Abduction of Lisa McVey,7.3
user_252,Toy Story 3,8.9
user_917,Joint Security Area,7.2
user_957,The Marquis of Grillo,5.9
user_193,The Shining,9.0
user_176,The Ox-Bow Incident,8.2
user_910,L.A. Confidential,9.1
user_768,"Black Cat, White Cat",5.8
user_524,How to Train Your Dragon,8.4
user_382,Inside Out,5.6
user_313,Laurence Anyways,6.7
user_337,The Martian,8.7
user_325,Underground,7.0
user_356,Wish Dragon,6.9
user_211,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6.8
user_773,Shutter Island,8.3
user_185,Schindler's List,7.5
user_116,La Jetée,9.3
user_527,The Batman,7.4
user_408,Red Shoes and the Seven Dwarfs,8.0
user_823,Amour,9.1
user_951,Limelight,7.4
user_99,The Batman,7.9
user_85,Home,5.5
user_907,Blade Runner,8.1
user_635,Steven Universe: The Movie,8.2
user_499,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,7.1
user_180,A Whisker Away,8.7
user_104,My Hero Academia: Heroes Rising,8.4
user_411,Night and Fog,6.8
user_410,Teen Titans: Trouble in Tokyo,7.2
user_715,Big Fish,9.8
user_316,Avatar: The Way of Water,7.6
user_712,The Way He Looks,6.9
user_802,Kind Hearts and Coronets,8.9
user_82,The Dawn Wall,8.8
user_541,Where Is My Friend's House?,8.9
user_491,A Charlie Brown Christmas,7.5
user_85,The Tenant,9.9
user_595,Selena,8.5
user_356,Touch of Evil,9.5
user_269,The Legend of 1900,9.5
user_887,Along with the Gods: The Two Worlds,8.6
user_386,Feast,10.0
user_491,Nausicaä of the Valley of the Wind,7.3
user_19,An Egg Rescue,6.3
user_672,Mr. Smith Goes to Washington,5.7
user_458,Mulholland Dr.,7.1
user_345,Harry Potter and the Chamber of Secrets,10.0
user_729,Sanjuro,8.3
user_795,Chungking Express,8.1
user_423,A Whisker Away,6.0
user_987,The Seven Deadly Sins: Cursed by Light,8.9
user_781,The Lion King,8.5
user_715,Sleuth,6.9
user_568,Believe Me: The Abduction of Lisa McVey,5.1
user_698,I Want to Eat Your Pancreas,7.4
user_176,Rascal Does Not Dream of a Dreaming Girl,6.4
user_324,The Ox-Bow Incident,8.1
user_391,Maquia: When the Promised Flower Blooms,10.0
user_461,The Elephant Man,9.4
user_569,Fail Safe,7.0
user_877,We Bare Bears: The Movie,9.5
user_326,Millennium Actress,8.4
user_889,Dangal,9.0
user_279,Avatar: The Way of Water,6.3
user_984,One Cut of the Dead,9.3
user_336,Touch of Evil,6.3
user_152,Prayers for Bobby,5.6
user_469,The Big Lebowski,8.3
user_37,North by Northwest,5.4
user_761,The Best Offer,9.6
user_183,Partly Cloudy,9.8
user_685,Attack on Titan: The Roar of Awakening,9.1
user_237,Evangelion: 2.0 You Can (Not) Advance,10.0
user_262,Cobain: Montage of Heck,7.2
user_657,The Cabinet of Dr. Caligari,9.7
user_76,Sleuth,6.3
user_606,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,5.7
user_447,Limelight,9.9
user_764,Human,6.0
user_824,A Dog's Journey,6.2
user_796,A Frozen Rooster,9.8
user_982,Samsara,8.0
user_536,Temple Grandin,7.0
user_304,Rope,7.2
user_697,Kingsman: The Secret Service,10.0
user_852,We Bare Bears: The Movie,8.9
user_822,Steven Universe: The Movie,7.4
user_466,Taylor Swift: Reputation Stadium Tour,6.4
user_280,12 Years a Slave,8.2
user_436,The Way He Looks,6.4
user_84,Scooby-Doo on Zombie Island,8.9
user_765,Dilwale Dulhania Le Jayenge,10.0
user_751,The Big Lebowski,9.5
user_221,Dancer in the Dark,5.5
user_779,La La Land,6.6
user_460,Elite Squad,6.8
user_667,Prayers for Bobby,6.6
user_837,Joint Security Area,8.8
user_859,Searching for Sugar Man,6.3
user_702,The Black Phone,6.2
user_287,Straight Outta Compton,8.9
user_69,Rebecca,8.4
user_713,Constantine: City of Demons - The Movie,6.4
user_85,Tomorrow,7.7
user_917,Klaus,8.7
user_589,The Departed,9.2
user_84,"Batman: The Dark Knight Returns, Part 2",9.2
user_869,The Lord of the Rings: The Fellowship of the Ring,6.2
user_100,The Wolf of Wall Street,7.0
user_165,Loving Vincent,8.4
user_612,Raiders of the Lost Ark,6.5
user_270,Fail Safe,9.2
user_151,Scooby-Doo! Camp Scare,7.9
user_390,Teen Wolf: The Movie,6.0
user_988,Barry Lyndon,7.4
user_547,Harry Potter and the Deathly Hallows: Part 1,8.9
user_354,The Tenant,7.4
user_969,Andrei Rublev,7.5
user_933,Avicii: True Stories,8.6
user_21,Forgotten,9.6
user_250,Teen Wolf: The Movie,7.3
user_907,Mulholland Dr.,8.3
user_233,Given,8.5
user_428,"Batman: The Dark Knight Returns, Part 1",9.8
user_150,BTS World Tour: Love Yourself - Japan Edition,6.0
user_927,The Treasure of the Sierra Madre,10.0
user_102,The Searchers,7.0
user_475,The Wrong Trousers,5.2
user_83,Django Unchained,7.8
user_209,Guy Ritchie's The Covenant,9.3
user_677,The Exorcist,8.1
user_168,Miraculous World: Shanghai – The Legend of Ladydragon,7.8
user_611,The Martian,8.3
user_19,I Want to Eat Your Pancreas,5.7
user_648,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,9.0
user_673,Wrath of Man,7.2
user_741,It's a Wonderful Life,8.5
user_456,Sunrise: A Song of Two Humans,8.3
user_728,Bacurau,8.3
user_966,The Internet's Own Boy: The Story of Aaron Swartz,8.3
user_51,Notorious,8.6
user_410,Girl in the Basement,9.6
user_318,The Color Purple,6.7
user_682,Luca,8.0
user_401,The Super Mario Bros. Movie,6.0
user_21,The Seven Deadly Sins: Cursed by Light,9.5
user_848,My Way,7.3
user_195,The Lord of the Rings: The Two Towers,6.0
user_273,Witness for the Prosecution,8.3
user_710,Barbie in The 12 Dancing Princesses,8.9
user_247,Harry Potter and the Deathly Hallows: Part 2,7.7
user_295,The Gentlemen,8.5
user_119,Lucky and Zorba,7.4
user_541,Tokyo Godfathers,10.0
user_853,Rich in Love,8.1
user_508,BTS World Tour: Love Yourself - Japan Edition,8.4
user_741,Kiki's Delivery Service,7.0
user_12,BTS World Tour: Love Yourself in Seoul,5.4
user_272,"Batman: The Dark Knight Returns, Part 2",6.5
