title,vote_average,genres
BTS World Tour: Love Yourself - Japan Edition,9.172,"Music, Documentary"
The Godfather,8.707,"Drama, Crime"
The Shawshank Redemption,8.702,"Drama, Crime"
The Godfather Part II,8.591,"Drama, Crime"
Schindler's List,8.573,"Drama, History, War"
Dilwale Dulhania Le Jayenge,8.552,"Comedy, Drama, Romance"
David Attenborough: A Life on Our Planet,8.55,Documentary
12 Angry Men,8.54,Drama
Spirited Away,8.539,"Animation, Family, Fantasy"
Parasite,8.515,"Comedy, Thriller, Drama"
Your Name.,8.514,"Romance, Animation, Drama"
The Dark Knight,8.512,"Drama, Action, Crime, Thriller"
The Green Mile,8.507,"Fantasy, Drama, Crime"
Your Eyes Tell,8.501,"Romance, Drama"
Pulp Fiction,8.488,"Thriller, Crime"
Human,8.485,Documentary
Forrest Gump,8.477,"Comedy, Drama, Romance"
The Lord of the Rings: The Return of the King,8.474,"Adventure, Fantasy, Action"
"The Good, the Bad and the Ugly",8.473,Western
GoodFellas,8.464,"Drama, Crime"
Life Is Beautiful,8.455,"Comedy, Drama"
Grave of the Fireflies,8.455,"Animation, Drama, War"
Cinema Paradiso,8.453,"Drama, Romance"
Seven Samurai,8.452,"Action, Drama"
Gabriel's Inferno,8.449,"Romance, Drama"
Bring the Soul: The Movie,8.444,"Music, Documentary"
Spider-Man: Across the Spider-Verse,8.442,"Animation, Action, Adventure"
Impossible Things,8.442,"Family, Drama"
Fight Club,8.438,Drama
Psycho,8.437,"Horror, Drama, Thriller"
Primal: Tales of Savagery,8.43,"Action, Adventure, Animation, Drama"
City of God,8.429,"Drama, Crime"
Once Upon a Time in America,8.427,"Drama, Crime"
Gabriel's Inferno: Part II,8.424,"Romance, Drama"
The Legend of Hei,8.421,"Animation, Fantasy, Action"
Dou kyu sei – Classmates,8.421,"Romance, Animation"
One Flew Over the Cuckoo's Nest,8.42,Drama
Interstellar,8.417,"Adventure, Drama, Science Fiction"
Twin Peaks,8.416,"Crime, Drama, Mystery, TV Movie"
Billie Eilish: The World's a Little Blurry,8.406,"Documentary, Music"
Gabriel's Inferno: Part III,8.404,"Romance, Drama"
Spider-Man: Into the Spider-Verse,8.404,"Action, Adventure, Animation, Science Fiction"
A Silent Voice: The Movie,8.402,"Animation, Drama"
Howl's Moving Castle,8.402,"Fantasy, Animation, Adventure"
The Lord of the Rings: The Fellowship of the Ring,8.402,"Adventure, Fantasy, Action"
Harakiri,8.4,"Action, Drama, History"
The Empire Strikes Back,8.4,"Adventure, Action, Science Fiction"
Taylor Swift: Reputation Stadium Tour,8.4,Music
A Dog's Will,8.394,"Comedy, Drama, Fantasy"
"The Boy, the Mole, the Fox and the Horse",8.392,"Animation, Family, Adventure, Fantasy"
Burn the Stage: The Movie,8.391,"Music, Documentary"
The Lord of the Rings: The Two Towers,8.385,"Adventure, Fantasy, Action"
The Pianist,8.382,"Drama, War"
Whiplash,8.381,"Drama, Music"
Attack on Titan: The Roar of Awakening,8.38,"Animation, Action, Adventure, Fantasy"
Hope,8.374,Drama
Se7en,8.368,"Crime, Mystery, Thriller"
Inception,8.364,"Action, Science Fiction, Adventure"
Hotarubi no Mori e,8.363,"Romance, Animation, Fantasy"
Rear Window,8.359,"Thriller, Mystery"
American History X,8.352,Drama
The Quintessential Quintuplets Movie,8.349,"Animation, Comedy, Romance"
"Josee, the Tiger and the Fish",8.345,"Animation, Drama, Romance"
Violet Evergarden: The Movie,8.343,"Animation, Fantasy, Romance, Drama"
Sunset Boulevard,8.34,Drama
Neon Genesis Evangelion: The End of Evangelion,8.339,"Animation, Science Fiction, Action, Drama"
Princess Mononoke,8.338,"Adventure, Fantasy, Animation"
Ikiru,8.337,Drama
The Great Dictator,8.332,"Comedy, War"
High and Low,8.331,"Crime, Drama, Mystery, Thriller"
One Direction: This Is Us,8.329,"Documentary, Music"
Dedicated to my ex,8.32,"Drama, Comedy"
Léon: The Professional,8.316,"Crime, Drama, Action"
Back to the Future,8.314,"Adventure, Comedy, Science Fiction"
A Brighter Summer Day,8.314,"Crime, Drama, Romance"
Dead Poets Society,8.312,Drama
City Lights,8.306,"Comedy, Romance, Drama"
Clouds,8.302,"Music, Drama, Romance"
Come and See,8.301,"Drama, War"
Le Trou,8.3,"Crime, Drama, Thriller, History"
Green Snake,8.3,"Animation, Fantasy, Action, Adventure"
Evangelion: 3.0+1.0 Thrice Upon a Time,8.3,"Animation, Action, Science Fiction, Drama"
The Silence of the Lambs,8.3,"Crime, Drama, Thriller"
Once Upon a Time in the West,8.294,"Drama, Western"
Modern Times,8.293,"Comedy, Drama"
Attack on Titan: Wings of Freedom,8.293,"Animation, Action, Fantasy, Adventure"
Life in a Year,8.29,"Drama, Romance"
Perfect Blue,8.287,"Animation, Thriller"
Five Feet Apart,8.287,"Romance, Drama"
Woman in the Dunes,8.285,"Drama, Thriller"
Apocalypse Now,8.282,"Drama, War"
Paths of Glory,8.281,"Drama, War"
The Intouchables,8.277,"Drama, Comedy"
Miracle in Cell No. 7,8.277,Drama
Oldboy,8.274,"Drama, Thriller, Mystery, Action"
Given,8.273,"Animation, Drama, Music, Romance"
The Shop Around the Corner,8.273,"Comedy, Drama, Romance"
Puss in Boots: The Last Wish,8.266,"Animation, Family, Fantasy, Adventure, Comedy, Action"
The Legend of 1900,8.265,"Drama, Music, Romance"
20th Century Girl,8.264,"Romance, Drama"
Avengers: Endgame,8.263,"Adventure, Science Fiction, Action"
Justice League Dark: Apokolips War,8.263,"Animation, Action, Science Fiction"
It's a Wonderful Life,8.26,"Drama, Family, Fantasy"
I Want to Eat Your Pancreas,8.26,"Animation, Drama, Romance"
